Start : 3475539562, 106065.050111sec

Sleep Statics
===== Client : 0 - WCN =====
Time Sleep : 636483703280
Time Awake : 13307559600
Sleep : 97.952025% Awake : 2.047975%
Log available 72173 ~ 106017sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - WCN =====
01385736561268	72173.779233	W	0.022875
01385737000464	72173.802107	S	0.369359
01385744092152	72174.171466	W	0.013329
01385744348068	72174.184795	S	0.808153
01385759864608	72174.992948	W	0.013748
01385760128568	72175.006696	S	0.700780
01385773583544	72175.707476	W	0.013203
01385773837048	72175.720680	S	1.080745
01385794587348	72176.801424	W	0.013748
01385794851316	72176.815173	S	3.001772
01385852485340	72179.816945	W	0.013888
01385852751980	72179.830832	S	3.015447
01385910648564	72182.846279	W	0.013716
01385910911912	72182.859995	S	0.937195
01385928906052	72183.797190	W	0.013508
01385929165408	72183.810698	S	0.703255
01385942667904	72184.513953	W	0.013440
01385942925944	72184.527393	S	0.458009
01385951719708	72184.985401	W	0.087740
01385953404316	72185.073141	S	0.055027
01385954460828	72185.128168	W	0.085091
01385956094584	72185.213260	S	0.119884
01385958396352	72185.333143	W	0.013362
01385958652896	72185.346505	S	0.523619
01385968706384	72185.870124	W	0.013835
01385968972016	72185.883959	S	3.013234
01386026826104	72188.897193	W	0.014142
01386027097636	72188.911335	S	1.183189
01386049814856	72190.094524	W	0.237001
01386054365272	72190.331525	S	0.016095
01386054674292	72190.347619	W	0.059984
01386055825988	72190.407604	S	1.272585
01386080259612	72191.680188	W	0.015520
01386080557592	72191.695708	S	0.224788
01386084873520	72191.920496	W	0.013759
01386085137700	72191.934255	S	3.008710
01386142904928	72194.942965	W	0.014120
01386143176036	72194.957085	S	0.411042
01386151068040	72195.368127	W	0.086179
01386152722668	72195.454306	S	0.015901
01386153027964	72195.470206	W	0.083706
01386154635116	72195.553912	S	1.246270
01386178563496	72196.800182	W	0.015663
01386178864220	72196.815845	S	1.150632
01386200956364	72197.966477	W	0.023514
01386201407828	72197.989991	S	1.576029
01386231667580	72199.566020	W	0.012179
01386231901424	72199.578199	S	1.415930
01386259087280	72200.994129	W	0.014053
01386259357104	72201.008182	S	3.013894
01386317223868	72204.022076	W	0.013757
01386317488008	72204.035834	S	2.494832
01386365388784	72206.530666	W	0.013435
01386365646732	72206.544101	S	0.001499
01386365675512	72206.545600	W	0.013383
01386365932456	72206.558982	S	0.484173
01386375228572	72207.043155	W	0.014583
01386375508568	72207.057738	S	2.078115
01386415408384	72209.135853	W	0.013945
01386415676132	72209.149799	S	0.284474
01386421138024	72209.434272	W	0.013791
01386421402808	72209.448063	S	0.630836
01386433514856	72210.078899	W	0.021196
01386433921820	72210.100095	S	0.927017
01386451720552	72211.027112	W	0.014778
01386452004296	72211.041890	S	2.058698
01386491531300	72213.100589	W	0.013849
01386491797208	72213.114438	S	3.005353
01386549499980	72216.119791	W	0.013815
01386549765220	72216.133605	S	1.866367
01386585599476	72217.999973	W	0.018606
01386585956704	72218.018578	S	0.493689
01386595435540	72218.512268	W	0.017475
01386595771052	72218.529742	S	0.605401
01386607394752	72219.135143	W	0.013784
01386607659404	72219.148927	S	3.006777
01386665389520	72222.155704	W	0.013900
01386665656400	72222.169604	S	3.001166
01386723278788	72225.170770	W	0.013000
01386723528392	72225.183770	S	0.347337
01386730197260	72225.531107	W	0.063799
01386731422192	72225.594906	S	0.655754
01386744012676	72226.250660	W	0.015411
01386744308564	72226.266071	S	1.923710
01386781243804	72228.189781	W	0.013871
01386781510120	72228.203652	S	3.001702
01386839142796	72231.205354	W	0.012237
01386839377752	72231.217591	S	3.003863
01386897051920	72234.221454	W	0.013865
01386897318124	72234.235319	S	3.002161
01386954959620	72237.237480	W	0.013796
01386955224512	72237.251277	S	3.012381
01387013062228	72240.263658	W	0.013128
01387013314288	72240.276786	S	3.004471
01387071000140	72243.281257	W	0.013759
01387071264316	72243.295016	S	2.351665
01387116416284	72245.646681	W	0.121198
01387118743288	72245.767880	S	0.013994
01387119011968	72245.781873	W	0.096055
01387120856216	72245.877928	S	0.427415
01387129062576	72246.305342	W	0.013924
01387129329920	72246.319267	S	0.112415
01387131488296	72246.431682	W	0.087873
01387133175456	72246.519555	S	0.048714
01387134110768	72246.568269	W	0.121059
01387136435096	72246.689328	S	0.390939
01387143941116	72247.080266	W	0.088394
01387145638276	72247.168660	S	0.116434
01387147873800	72247.285094	W	0.086515
01387149534880	72247.371608	S	0.016108
01387149844156	72247.387716	W	0.063317
01387151059836	72247.451033	S	0.549529
01387161610788	72248.000562	W	0.015445
01387161907332	72248.016007	S	1.313009
01387187117100	72249.329016	W	0.013037
01387187367416	72249.342053	S	1.322216
01387212753956	72250.664269	W	0.085410
01387214393836	72250.749679	S	0.784478
01387229455816	72251.534157	W	0.237350
01387234012940	72251.771507	S	0.015853
01387234317312	72251.787360	W	0.059490
01387235459516	72251.846850	S	0.149000
01387238320320	72251.995850	W	0.013428
01387238578144	72252.009278	S	0.191437
01387242253736	72252.200715	W	0.021787
01387242672048	72252.222502	S	0.128711
01387245143292	72252.351213	W	0.013845
01387245409124	72252.365059	S	3.007215
01387303147648	72255.372273	W	0.012226
