Start : 3333807527, 101739.731678sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 31879279812
Time Awake : 10776528008
Sleep : 74.736083% Awake : 25.263917%
Log available 99518 ~ 101739sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
01910747050776	99518.075561	S	0.289859
01910752616060	99518.365420	W	0.030331
01910753198412	99518.395751	S	0.289662
01910758759916	99518.685412	W	0.038329
01910759495824	99518.723741	S	0.281642
01910764903344	99519.005383	W	0.029752
01910765474580	99519.035134	S	0.290290
01910771048144	99519.325424	W	0.030346
01910771630788	99519.355770	S	0.289631
01910777191708	99519.645401	W	0.030133
01910777770268	99519.675535	S	0.289840
01910783335200	99519.965375	W	0.038316
01910784070864	99520.003691	S	0.281661
01910789478756	99520.285352	W	0.030096
01910790056608	99520.315448	S	0.289916
01910795622992	99520.605364	W	0.030270
01910796204176	99520.635634	S	0.289725
01910801766888	99520.925359	W	0.030353
01910802349664	99520.955712	S	0.289645
01910807910856	99521.245357	W	0.213387
01910812007892	99521.458744	S	0.106626
01910814055104	99521.565370	W	0.030220
01910814635328	99521.595590	S	0.289758
01910820198688	99521.885348	W	0.030366
01910820781712	99521.915714	S	0.289639
01910826342784	99522.205353	W	0.030384
01910826926156	99522.235737	S	0.289613
01910832486724	99522.525350	W	0.047366
01910833396156	99522.572716	S	0.272637
01910838630784	99522.845353	W	0.030359
01910839213668	99522.875712	S	0.289633
01910844774612	99523.165344	W	0.030389
01910845358080	99523.195733	S	0.289605
01910850918488	99523.485338	W	0.030353
01910851501264	99523.515691	S	0.289664
01910857062808	99523.805355	W	0.067351
01910858355948	99523.872706	S	0.252641
01910863206664	99524.125347	W	0.030392
01910863790184	99524.155739	S	0.289597
01910869350452	99524.445336	W	0.030432
01910869934744	99524.475768	S	0.289576
01910875494596	99524.765344	W	0.030074
01910876072020	99524.795418	S	0.289914
01910881638368	99525.085332	W	0.038371
01910882375096	99525.123703	S	0.281602
01910887781864	99525.405305	W	0.030439
01910888366284	99525.435744	S	0.289597
01910893926548	99525.725341	W	0.030363
01910894509520	99525.755704	S	0.289641
01910900070624	99526.045345	W	0.030360
01910900653540	99526.075705	S	0.289600
01910906213864	99526.365305	W	0.038061
01910906944644	99526.403367	S	0.281971
01910912358496	99526.685338	W	0.030379
01910912941764	99526.715717	S	0.289631
01910918502688	99527.005348	W	0.030343
01910919085276	99527.035691	S	0.289630
01910924646172	99527.325321	W	0.030373
01910925229336	99527.355695	S	0.289630
01910930790224	99527.645324	W	0.038370
01910931526932	99527.683694	S	0.281610
01910936933836	99527.965304	W	0.030398
01910937517472	99527.995702	S	0.289611
01910943078004	99528.285313	W	0.030388
01910943661444	99528.315700	S	0.289606
01910949221880	99528.605306	W	0.030344
01910949804488	99528.635650	S	0.289687
01910955366480	99528.925337	W	0.038098
01910956097956	99528.963435	S	0.281878
01910961510012	99529.245313	W	0.030039
01910962086756	99529.275352	S	0.262298
01910967122868	99529.537649	W	0.014471
01910967400712	99529.552120	S	0.013582
01910967661488	99529.565702	W	0.029961
01910968236740	99529.595664	S	0.289599
01910973797036	99529.885262	W	0.030364
01910974380028	99529.915626	S	0.289690
01910979942080	99530.205317	W	0.038016
01910980671992	99530.243333	S	0.281993
01910986086260	99530.525326	W	0.030373
01910986669420	99530.555699	S	0.289592
01910992229580	99530.845291	W	0.030395
01910992813164	99530.875686	S	0.289624
01910998373948	99531.165310	W	0.030367
01910998957000	99531.195677	S	0.289613
01911004517572	99531.485290	W	0.038378
01911005254420	99531.523668	S	0.281640
01911010661908	99531.805308	W	0.030109
01911011239996	99531.835416	S	0.289905
01911016806176	99532.125322	W	0.030368
01911017389248	99532.155690	S	0.289616
01911022949876	99532.445306	W	0.030052
01911023526876	99532.475358	S	0.289948
01911029093884	99532.765306	W	0.038350
01911029830208	99532.803657	S	0.281633
01911035237556	99533.085289	W	0.030402
01911035821280	99533.115692	S	0.289600
01911041381608	99533.405292	W	0.030392
01911041965128	99533.435684	S	0.289614
01911047525716	99533.725298	W	0.030370
01911048108820	99533.755668	S	0.289639
01911053669896	99534.045307	W	0.038344
01911054406108	99534.083651	S	0.281644
01911059813672	99534.365295	W	0.030365
01911060396688	99534.395661	S	0.289619
01911065957372	99534.685280	W	0.030430
01911066541636	99534.715710	S	0.289562
01911072101224	99535.005272	W	0.030416
01911072685216	99535.035688	S	0.289613
01911078245788	99535.325301	W	0.038160
01911078978468	99535.363462	S	0.281804
01911084389104	99535.645266	W	0.030445
01911084973648	99535.675711	S	0.289581
01911090533612	99535.965292	W	0.030366
01911091116640	99535.995658	S	0.289617
01911096677288	99536.285275	W	0.030368
01911097260352	99536.315643	S	0.289640
01911102821432	99536.605283	W	0.047180
01911103727284	99536.652463	S	0.272844
01911108965888	99536.925307	W	0.030364
01911109548876	99536.955671	S	0.289612
01911115109432	99537.245283	W	0.030354
