Start : 973674716, 29714.194220sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 66494430684
Time Awake : 5966475280
Sleep : 91.765939% Awake : 8.234061%
Log available 25940 ~ 29714sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
00498051635364	25940.189342	S	0.619317
00498063526260	25940.808659	W	0.013642
00498063788188	25940.822301	S	0.627261
00498075831600	25941.449563	W	0.015234
00498076124100	25941.464797	S	0.626655
00498088155880	25942.091452	W	0.014820
00498088440432	25942.106273	S	0.625992
00498100459476	25942.732264	W	0.015045
00498100748344	25942.747310	S	0.626339
00498112774052	25943.373649	W	0.015313
00498113068068	25943.388962	S	0.626874
00498125104048	25944.015836	W	0.012154
00498125337404	25944.027990	S	0.624256
00498137323112	25944.652245	W	0.017304
00498137655348	25944.669549	S	0.618160
00498149524020	25945.287709	W	0.015358
00498149818888	25945.303067	S	0.625674
00498161831824	25945.928741	W	0.016142
00498162141756	25945.944883	S	0.626312
00498174166944	25946.571195	W	0.014832
00498174451720	25946.586027	S	0.627005
00498186490220	25947.213032	W	0.014585
00498186770248	25947.227617	S	0.626990
00498198808460	25947.854607	W	0.012133
00498199041416	25947.866740	S	0.627840
00498211095952	25948.494581	W	0.015005
00498211384048	25948.509586	S	0.622420
00498223334508	25949.132006	W	0.041846
00498224137956	25949.173852	S	0.594287
00498235548260	25949.768139	W	0.014120
00498235819360	25949.782258	S	0.626540
00498247848928	25950.408798	W	0.013447
00498248107104	25950.422245	S	0.628718
00498260178484	25951.050963	W	0.013982
00498260446940	25951.064945	S	0.627752
00498272499772	25951.692696	W	0.015137
00498272790400	25951.707833	S	0.624389
00498284778660	25952.332222	W	0.015249
00498285071436	25952.347471	S	0.624753
00498297066692	25952.972224	W	0.015908
00498297372116	25952.988131	S	0.624178
00498309356340	25953.612309	W	0.016933
00498309681448	25953.629242	S	0.618454
00498321555756	25954.247696	W	0.014963
00498321843040	25954.262658	S	0.626109
00498333864328	25954.888767	W	0.016172
00498334174840	25954.904940	S	0.625165
00498346178000	25955.530104	W	0.015049
00498346466940	25955.545153	S	0.625992
00498358485988	25956.171145	W	0.016463
00498358802080	25956.187608	S	0.624536
00498370793176	25956.812145	W	0.015069
00498371082492	25956.827213	S	0.624962
00498383081768	25957.452175	W	0.015983
00498383388636	25957.468158	S	0.624013
00498395369688	25958.092171	W	0.016995
00498395695988	25958.109166	S	0.618537
00498407571908	25958.727704	W	0.015108
00498407861980	25958.742811	S	0.625982
00498419880832	25959.368793	W	0.015299
00498420174572	25959.384092	S	0.625958
00498432192960	25960.010050	W	0.016204
00498432504068	25960.026254	S	0.624892
00498444502004	25960.651146	W	0.015177
00498444793396	25960.666323	S	0.627042
00498456832608	25961.293365	W	0.013506
00498457091920	25961.306871	S	0.627416
00498469138308	25961.934287	W	0.014011
00498469407328	25961.948298	S	0.626710
00498481440168	25962.575009	W	0.015920
00498481745836	25962.590929	S	0.617692
00498493605516	25963.208621	W	0.012167
00498493839132	25963.220788	S	0.628649
00498505909200	25963.849438	W	0.014721
00498506191844	25963.864159	S	0.625869
00498518208520	25964.490027	W	0.013542
00498518468520	25964.503569	S	0.627516
00498530516824	25965.131085	W	0.015367
