Start : 868344757, 26499.778991sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 59054773464
Time Awake : 11151796312
Sleep : 84.115737% Awake : 15.884263%
Log available 22843 ~ 26499sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
00438589198776	22843.187436	S	0.628675
00438601269328	22843.816111	W	0.011872
00438601497268	22843.827983	S	0.629499
00438613583656	22844.457482	W	0.011992
00438613813904	22844.469474	S	0.629082
00438625892288	22845.098557	W	0.011817
00438626119180	22845.110374	S	0.619550
00438638014548	22845.729924	W	0.012413
00438638252876	22845.742337	S	0.630399
00438650356528	22846.372736	W	0.011778
00438650582668	22846.384514	S	0.629305
00438662665328	22847.013819	W	0.012038
00438662896460	22847.025857	S	0.629224
00438674977552	22847.655081	W	0.019161
00438675345444	22847.674242	S	0.619900
00438687247516	22848.294141	W	0.014347
00438687522980	22848.308489	S	0.628129
00438699583048	22848.936617	W	0.012848
00438699829724	22848.949465	S	0.628685
00438711900484	22849.578150	W	0.012368
00438712137956	22849.590519	S	0.619489
00438724032148	22850.210008	W	0.012269
00438724267716	22850.222277	S	0.628523
00438736335352	22850.850800	W	0.012729
00438736579756	22850.863529	S	0.630103
00438748677728	22851.493632	W	0.012078
00438748909624	22851.505710	S	0.629328
00438760992716	22852.135037	W	0.012171
00438761226392	22852.147208	S	0.628985
00438773302912	22852.776193	W	0.011791
00438773529308	22852.787985	S	0.629176
00438785609484	22853.417161	W	0.012539
00438785850224	22853.429699	S	0.628917
00438797925432	22854.058616	W	0.011877
00438798153464	22854.070493	S	0.619849
00438810054572	22854.690342	W	0.011895
00438810282964	22854.702238	S	0.629167
00438822362968	22855.331405	W	0.011949
00438822592396	22855.343354	S	0.628979
00438834668792	22855.972333	W	0.012642
00438834911512	22855.984975	S	0.630093
00438847009300	22856.615068	W	0.011944
00438847238620	22856.627011	S	0.629161
00438859318520	22857.256173	W	0.012057
00438859550020	22857.268230	S	0.629342
00438871633384	22857.897572	W	0.019064
00438871999420	22857.916636	S	0.621659
00438883935280	22858.538296	W	0.012526
00438884175788	22858.550822	S	0.619411
00438896068480	22859.170233	W	0.011836
00438896295728	22859.182069	S	0.629231
00438908376968	22859.811300	W	0.011974
00438908606860	22859.823274	S	0.629356
00438920690504	22860.452630	W	0.011866
00438920918328	22860.464496	S	0.628876
00438932992740	22861.093372	W	0.012524
00438933233196	22861.105896	S	0.630216
00438945333348	22861.736112	W	0.011892
00438945561676	22861.748004	S	0.629464
00438957647384	22862.377468	W	0.011944
00438957876716	22862.389412	S	0.629179
00438969956948	22863.018591	W	0.011899
00438970185400	22863.030490	S	0.617584
00438982043020	22863.648074	W	0.014468
00438982320804	22863.662542	S	0.627853
00438994375584	22864.290395	W	0.012869
00438994622668	22864.303264	S	0.628966
00439006698816	22864.932230	W	0.012360
00439006936128	22864.944590	S	0.628831
00439019009680	22865.573421	W	0.012090
00439019241808	22865.585511	S	0.628947
00439031317600	22866.214458	W	0.012710
00439031561632	22866.227168	S	0.630146
00439043660440	22866.857315	W	0.012082
00439043892412	22866.869396	S	0.513591
00439053753360	22867.382988	W	0.008124
00439053909336	22867.391111	S	0.107376
00439055970948	22867.498487	W	0.011844
00439056198356	22867.510331	S	0.619784
00439068098216	22868.130115	W	0.018788
00439068458944	22868.148903	S	0.621990
00439080401152	22868.770893	W	0.012575
00439080642588	22868.783468	S	0.629098
00439092721268	22869.412566	W	0.012013
00439092951924	22869.424579	S	0.629099
00439105030616	22870.053678	W	0.036425
00439105729968	22870.090102	S	0.604781
00439117341772	22870.694884	W	0.012098
00439117574044	22870.706981	S	0.628769
00439129646400	22871.335750	W	0.012443
00439129885304	22871.348193	S	0.630422
00439141989408	22871.978615	W	0.011660
00439142213288	22871.990275	S	0.620062
00439154118488	22872.610338	W	0.011836
00439154345744	22872.622174	S	0.629275
00439166427828	22873.251449	W	0.011730
00439166653036	22873.263179	S	0.629135
00439178732420	22873.892314	W	0.012672
00439178975724	22873.904986	S	0.628656
00439191045920	22874.533642	W	0.011986
00439191276056	22874.545628	S	0.629377
00439203360096	22875.175005	W	0.011844
00439203587492	22875.186849	S	0.629256
00439215669216	22875.816105	W	0.011780
00439215895384	22875.827885	S	0.629165
00439227975344	22876.457049	W	0.012536
00439228216032	22876.469585	S	0.620596
00439240131472	22877.090181	W	0.011825
00439240358504	22877.102005	S	0.629264
00439252440380	22877.731270	W	0.011901
00439252668880	22877.743171	S	0.629525
00439264755764	22878.372696	W	0.019153
00439265123496	22878.391849	S	0.621562
00439277057480	22879.013410	W	0.012349
00439277294572	22879.025759	S	0.629136
00439289373988	22879.654895	W	0.011909
00439289602636	22879.666804	S	0.165830
00439292786576	22879.832634	W	0.001392
00439292813304	22879.834026	S	0.462121
00439301686032	22880.296148	W	0.011719
00439301911028	22880.307866	S	0.629598
00439313999304	22880.937464	W	0.011764
00439314225164	22880.949227	S	0.628897
00439326299980	22881.578124	W	0.012565
00439326541220	22881.590689	S	0.620504
00439338454896	22882.211192	W	0.011872
00439338682848	22882.223065	S	0.629557
00439350770344	22882.852622	W	0.012050
00439351001708	22882.864672	S	0.629102
00439363080468	22883.493774	W	0.011829
00439363307584	22883.505603	S	0.629115
00439375386584	22884.134718	W	0.012574
