Start : 4921138013, 150181.213784sec

Sleep Statics
===== Client : 0 - WCN =====
Time Sleep : 1309560093724
Time Awake : 19617670264
Sleep : 98.524075% Awake : 1.475925%
Log available 80941 ~ 150169sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - WCN =====
01554080204800	80941.677333	W	0.012741
01554080449428	80941.690074	S	0.151205
01554083352564	80941.841279	W	0.013833
01554083618152	80941.855112	S	1.416418
01554110813384	80943.271530	W	0.085922
01554112463092	80943.357453	S	0.060313
01554113621096	80943.417765	W	0.084618
01554115245768	80943.502384	S	0.222860
01554119524680	80943.725244	W	0.013300
01554119780032	80943.738543	S	0.555411
01554130443924	80944.293954	W	0.015413
01554130739848	80944.309367	S	0.558005
01554141453540	80944.867372	W	0.013920
01554141720808	80944.881292	S	0.790000
01554156888812	80945.671292	W	0.013453
01554157147104	80945.684745	S	0.088462
01554158845568	80945.773207	W	0.013295
01554159100836	80945.786502	S	0.909907
01554176571048	80946.696409	W	0.022337
01554176999920	80946.718746	S	0.796373
01554192290276	80947.515119	W	0.013326
01554192546132	80947.528444	S	0.190499
01554196203708	80947.718943	W	0.013279
01554196458660	80947.732222	S	0.160241
01554199535284	80947.892463	W	0.013996
01554199804004	80947.906459	S	0.119564
01554202099636	80948.026023	W	0.013456
01554202357992	80948.039479	S	0.498501
01554211929216	80948.537980	W	0.013331
01554212185180	80948.551311	S	0.191970
01554215871004	80948.743281	W	0.013376
01554216127832	80948.756658	S	0.088525
01554217827504	80948.845182	W	0.013386
01554218084516	80948.858569	S	0.396240
01554225692316	80949.254808	W	0.013314
01554225947940	80949.268122	S	1.649196
01554257612512	80950.917318	W	0.013785
01554257877176	80950.931103	S	2.419824
01554304337800	80953.350927	W	0.016373
01554304652160	80953.367300	S	0.496347
01554314182024	80953.863647	W	0.025748
01554314676392	80953.889395	S	0.051249
01554315660364	80953.940644	W	0.022236
01554316087292	80953.962880	S	1.538875
01554345633696	80955.501755	W	0.013485
01554345892604	80955.515240	S	0.088491
01554347591624	80955.603730	W	0.013251
01554347846052	80955.616982	S	1.215431
01554371182336	80956.832413	W	0.013397
01554371439560	80956.845810	S	0.120888
01554373760604	80956.966698	W	0.013799
01554374025536	80956.980497	S	3.010017
01554431817864	80959.990514	W	0.014064
01554432087896	80960.004578	S	0.617038
01554443935028	80960.621616	W	0.013367
01554444191676	80960.634983	S	0.088533
01554445891504	80960.723516	W	0.013214
01554446145220	80960.736730	S	0.908461
01554463587676	80961.645191	W	0.013570
01554463848220	80961.658761	S	1.215246
