Start : 5738610736, 175128.501471sec

Sleep Statics
===== Client : 0 - WCN =====
Time Sleep : 125636265196
Time Awake : 9772690664
Sleep : 92.782833% Awake : 7.217167%
Log available 167786 ~ 174838sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - WCN =====
03221496912404	167786.297521	W	0.024224
03221497377504	167786.321745	S	0.080031
03221498914100	167786.401776	W	0.013283
03221499169128	167786.415059	S	0.085361
03221500808068	167786.500420	W	0.017071
03221501135832	167786.517491	S	0.085402
03221502775552	167786.602893	W	0.025917
03221503273164	167786.628811	S	0.085602
03221504916716	167786.714412	W	0.022456
03221505347868	167786.736868	S	0.171665
03221508643836	167786.908533	W	0.021773
03221509061880	167786.930306	S	0.085903
03221510711224	167787.016210	W	0.013281
03221510966220	167787.029491	S	0.084076
03221512580488	167787.113567	W	0.015847
03221512884744	167787.129414	S	0.064163
03221514116668	167787.193576	W	0.014300
03221514391220	167787.207876	S	0.217632
03221518569760	167787.425508	W	0.015869
03221518874440	167787.441377	S	0.149617
03221521747080	167787.590994	W	0.014955
03221522034224	167787.605949	S	0.018838
03221522395912	167787.624787	W	0.013224
03221522649808	167787.638011	S	0.507284
03221532389664	167788.145295	W	0.014120
03221532660772	167788.159415	S	0.043964
03221533504880	167788.203379	W	0.021507
03221533917816	167788.224886	S	0.527867
03221544052856	167788.752753	W	0.013400
03221544310128	167788.766153	S	0.445372
03221552861276	167789.211525	W	0.022887
03221553300712	167789.234412	S	0.241269
03221557933084	167789.475681	W	0.016804
03221558255716	167789.492485	S	0.282994
03221563689192	167789.775479	W	0.013350
03221563945516	167789.788829	S	0.436683
03221572329824	167790.225512	W	0.013802
03221572594816	167790.239313	S	0.356222
03221579434276	167790.595535	W	0.037379
03221580151956	167790.632914	S	0.373156
03221587316544	167791.006070	W	0.026281
03221587821140	167791.032351	S	0.016608
03221588140008	167791.048959	W	0.036024
03221588831664	167791.084983	S	0.149747
03221591706812	167791.234730	W	0.014059
03221591976744	167791.248789	S	0.168405
03221595210112	167791.417193	W	0.031402
03221595813024	167791.448595	S	0.794777
03221611072740	167792.243372	W	0.013759
03221611336920	167792.257131	S	0.996257
03221630465048	167793.253388	W	0.021688
03221630881464	167793.275076	S	0.290697
03221636462848	167793.565773	W	0.013491
03221636721872	167793.579264	S	0.053081
03221637741032	167793.632345	W	0.022525
03221638173520	167793.654871	S	0.613093
03221649944904	167794.267964	W	0.021044
03221650348948	167794.289008	S	0.401935
03221658066092	167794.690942	W	0.017376
03221658399712	167794.708318	S	0.572844
03221669398308	167795.281162	W	0.022992
03221669839756	167795.304154	S	0.415843
03221677823940	167795.719997	W	0.022496
03221678255868	167795.742493	S	0.485489
03221687577256	167796.227982	W	0.015757
03221687879784	167796.243739	S	0.048367
03221688808432	167796.292106	W	0.013833
03221689074020	167796.305939	S	0.126160
03221691496284	167796.432098	W	0.013084
03221691747504	167796.445182	S	0.208207
03221695745072	167796.653389	W	0.014051
03221696014860	167796.667441	S	0.581284
03221707175520	167797.248725	W	0.013450
03221707433764	167797.262175	S	0.039023
03221708182996	167797.301198	W	0.021888
03221708603244	167797.323086	S	0.440062
03221717052436	167797.763148	W	0.017619
03221717390724	167797.780767	S	0.492361
03221726844052	167798.273128	W	0.015866
03221727148680	167798.288994	S	0.023711
03221727603940	167798.312705	W	0.014811
03221727888308	167798.327516	S	0.259698
03221732874504	167798.587214	W	0.012562
