Start : 3470911499, 105923.812840sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 119097618124
Time Awake : 10302302412
Sleep : 92.038401% Awake : 7.961599%
Log available 99184 ~ 105923sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
01904337298016	99184.234272	S	1.250368
01904361305084	99185.484640	W	0.056022
01904362380704	99185.540662	S	1.223979
01904385881108	99186.764641	W	0.038910
01904386628184	99186.803551	S	1.241080
01904410456912	99188.044631	W	0.038949
01904411204728	99188.083580	S	1.241031
01904435032516	99189.324610	W	0.047924
01904435952652	99189.372534	S	1.232092
01904459608812	99190.604626	W	0.038951
01904460356672	99190.643577	S	1.241040
01904484184636	99191.884616	W	0.047945
01904485105184	99191.932562	S	1.232040
01904508760344	99193.164601	W	0.039023
01904509509576	99193.203624	S	1.240995
01904533336684	99194.444619	W	0.037970
01904534065712	99194.482589	S	1.242009
01904557912292	99195.724599	W	0.037991
01904558641720	99195.762590	S	1.242011
01904582488324	99197.004600	W	0.047933
01904583408628	99197.052533	S	1.232054
01904607064072	99198.284587	W	0.039026
01904607813380	99198.323614	S	1.240976
01904631640128	99199.564590	W	0.047983
01904632561400	99199.612573	S	1.232015
01904656216080	99200.844588	W	0.055920
01904657289736	99200.900507	S	1.224074
01904680791960	99202.124581	W	0.038948
01904681539760	99202.163529	S	1.241047
01904705367856	99203.404576	W	0.056001
01904706443076	99203.460577	S	1.223996
01904729943808	99204.684573	W	0.047919
01904730863852	99204.732492	S	1.232075
01904754519688	99205.964567	W	0.049023
01904755460928	99206.013590	S	1.230974
01904779095624	99207.244564	W	0.038953
01904779843528	99207.283517	S	1.241048
01904803671656	99208.524565	W	0.037949
01904804400272	99208.562514	S	1.242041
01904828247468	99209.804556	W	0.047916
01904829167448	99209.852471	S	1.232069
01904852823164	99211.084540	W	0.047961
01904853744020	99211.132501	S	1.232033
01904877399056	99212.364534	W	0.047922
01904878319160	99212.412456	S	1.232081
01904901975124	99213.644538	W	0.038957
01904902723096	99213.683495	S	1.241039
01904926551044	99214.924534	W	0.055904
01904927624400	99214.980437	S	1.224097
01904951127064	99216.204535	W	0.048021
01904952049064	99216.252555	S	1.231971
01904975702916	99217.484527	W	0.056918
01904976795732	99217.541444	S	1.223074
01905000278748	99218.764518	W	0.047963
01905001199636	99218.812481	S	1.232032
01905024854648	99220.044513	W	0.047923
01905025774764	99220.092436	S	1.232070
01905049430500	99221.324505	W	0.038994
01905050179192	99221.363500	S	1.251003
01905074198452	99222.614503	W	0.019636
01905074575468	99222.634139	S	1.250359
01905098582360	99223.884498	W	0.047994
01905099503840	99223.932492	S	1.232000
01905123158236	99225.164491	W	0.047972
01905124079296	99225.212463	S	1.232035
01905147734376	99226.444499	W	0.048009
01905148656152	99226.492508	S	1.231978
01905172310132	99227.724486	W	0.038963
01905173058216	99227.763449	S	1.241035
01905196886096	99229.004484	W	0.047958
01905197806888	99229.052442	S	1.232042
01905221462088	99230.284484	W	0.047968
01905222383064	99230.332451	S	1.232024
01905246037932	99231.564476	W	0.038941
01905246785604	99231.603417	S	1.241051
01905270613788	99232.844468	W	0.048009
01905271535560	99232.892477	S	1.241990
01905295381776	99234.134468	W	0.019695
01905295759928	99234.154163	S	1.250291
01905319765508	99235.404454	W	0.037942
01905320493988	99235.442395	S	1.242043
01905344341220	99236.684439	W	0.056025
01905345416896	99236.740463	S	1.223993
01905368917564	99237.964456	W	0.038921
01905369664848	99238.003378	S	1.241057
01905393493152	99239.244435	W	0.047989
01905394414548	99239.292424	S	1.232011
01905418069160	99240.524435	W	0.038924
01905418816496	99240.563359	S	1.241076
01905442645148	99241.804435	W	0.037930
