Start : 2689992587, 82092.058951sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 36402446744
Time Awake : 13582527000
Sleep : 72.826780% Awake : 27.173220%
Log available 79488 ~ 82091sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
01526182570136	79488.675528	S	0.001978
01526182608116	79488.677506	W	0.002465
01526182655436	79488.679971	S	0.002085
01526182695476	79488.682056	W	0.000928
01526182713292	79488.682984	S	0.001909
01526182749948	79488.684893	W	0.000865
01526182766556	79488.685758	S	0.001898
01526182803004	79488.687656	W	0.001335
01526182828632	79488.688991	S	0.002041
01526182867816	79488.691032	W	0.000900
01526182885092	79488.691932	S	0.002128
01526182925956	79488.694060	W	0.000930
01526182943804	79488.694990	S	0.003939
01526183019424	79488.698928	W	0.002998
01526183076984	79488.701926	S	0.002106
01526183117420	79488.704032	W	0.000939
01526183135440	79488.704971	S	0.001915
01526183172208	79488.706886	W	0.003098
01526183231688	79488.709984	S	0.002106
01526183272116	79488.712089	W	0.008425
01526183433876	79488.720514	S	0.002188
01526183475876	79488.722702	W	0.000950
01526183494108	79488.723651	S	0.001906
01526183530700	79488.725557	W	0.003118
01526183590568	79488.728675	S	0.002110
01526183631084	79488.730786	W	0.002968
01526183688068	79488.733754	S	0.002118
01526183728732	79488.735871	W	0.000913
01526183746252	79488.736784	S	0.001903
01526183782784	79488.738687	W	0.002792
01526183836400	79488.741479	S	0.002113
01526183876976	79488.743593	W	0.000931
01526183894848	79488.744523	S	0.002528
01526183943384	79488.747051	W	0.002874
01526183998556	79488.749925	S	0.002088
01526184038648	79488.752013	W	0.000958
01526184057036	79488.752971	S	0.001917
01526184093844	79488.754888	W	0.002019
01526184132604	79488.756906	S	0.002071
01526184172376	79488.758978	W	0.000966
01526184190924	79488.759944	S	0.001929
01526184227952	79488.761873	W	0.002255
01526184271252	79488.764128	S	0.002073
01526184311060	79488.766201	W	0.000901
01526184328356	79488.767102	S	0.001953
01526184365856	79488.769055	W	0.003185
01526184427008	79488.772240	S	0.002173
01526184468728	79488.774413	W	0.003207
01526184530296	79488.777620	S	0.002195
01526184572440	79488.779815	W	0.000942
01526184590536	79488.780757	S	0.001975
01526184628452	79488.782732	W	0.002825
