Start : 3696247108, 112800.509889sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 64265248724
Time Awake : 65900805748
Sleep : 49.371742% Awake : 50.628258%
Log available 106021 ~ 112789sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
02035603744580	106021.028364	S	0.002020
02035603783360	106021.030383	W	0.001167
02035603805764	106021.031550	S	0.001983
02035603843832	106021.033533	W	0.001255
02035603867920	106021.034788	S	0.001935
02035603905080	106021.036723	W	0.002302
02035603949288	106021.039025	S	0.002040
02035603988456	106021.041065	W	0.003177
02035604049452	106021.044242	S	0.002080
02035604089396	106021.046323	W	0.001023
02035604109040	106021.047346	S	0.001888
02035604145288	106021.049234	W	0.002758
02035604198248	106021.051992	S	0.002064
02035604237884	106021.054056	W	0.002759
02035604290860	106021.056816	S	0.002054
02035604330292	106021.058869	W	0.001315
02035604355536	106021.060184	S	0.001917
02035604392348	106021.062101	W	0.002452
02035604439432	106021.064554	S	0.002061
02035604479004	106021.066615	W	0.002916
02035604534992	106021.069531	S	0.002055
02035604574448	106021.071586	W	0.002864
02035604629432	106021.074450	S	0.002073
02035604669224	106021.076522	W	0.001208
02035604692416	106021.077730	S	0.001922
02035604729320	106021.079652	W	0.001381
02035604755840	106021.081033	S	0.002030
02035604794824	106021.083064	W	0.002860
02035604849740	106021.085924	S	0.002076
02035604889600	106021.088000	W	0.002993
02035604947068	106021.090993	S	0.002050
02035604986432	106021.093043	W	0.002770
02035605039612	106021.095813	S	0.002065
02035605079268	106021.097879	W	0.003046
02035605137748	106021.100924	S	0.002085
02035605177776	106021.103009	W	0.001029
02035605197528	106021.104038	S	0.001876
02035605233544	106021.105914	W	0.002842
02035605288108	106021.108756	S	0.002068
02035605327812	106021.110824	W	0.001030
02035605347588	106021.111854	S	0.001906
02035605384176	106021.113759	W	0.003213
02035605445856	106021.116972	S	0.002076
02035605485712	106021.119048	W	0.003256
02035605548236	106021.122304	S	0.002063
02035605587852	106021.124367	W	0.001029
02035605607612	106021.125396	S	0.001887
02035605643848	106021.127284	W	0.002687
02035605695444	106021.129971	S	0.002056
02035605734916	106021.132027	W	0.001022
02035605754544	106021.133049	S	0.001875
02035605790548	106021.134924	W	0.002851
02035605845284	106021.137775	S	0.002056
02035605884760	106021.139831	W	0.001040
02035605904728	106021.140871	S	0.001882
02035605940856	106021.142753	W	0.003112
02035606000604	106021.145865	S	0.002057
02035606040100	106021.147922	W	0.000936
02035606058076	106021.148858	S	0.001906
02035606094664	106021.150764	W	0.002325
02035606139304	106021.153089	S	0.002055
02035606178752	106021.155143	W	0.001038
02035606198684	106021.156181	S	0.004395
02035606283064	106021.160576	W	0.002728
02035606335436	106021.163304	S	0.002059
02035606374976	106021.165363	W	0.002532
02035606423592	106021.167895	S	0.002035
02035606462668	106021.169931	W	0.001073
02035606483260	106021.171003	S	0.002109
02035606523744	106021.173112	W	0.003049
02035606582288	106021.176161	S	0.002095
02035606622520	106021.178256	W	0.002984
02035606679820	106021.181241	S	0.002111
02035606720360	106021.183352	W	0.001094
02035606741364	106021.184446	S	0.002172
02035606783060	106021.186618	W	0.002593
02035606832844	106021.189211	S	0.002048
02035606872172	106021.191259	W	0.001391
02035606898880	106021.192650	S	0.001948
02035606936276	106021.194598	W	0.001725
02035606969392	106021.196323	S	0.002060
02035607008948	106021.198383	W	0.001112
02035607030292	106021.199494	S	0.001921
02035607067176	106021.201415	W	0.001370
02035607093480	106021.202785	S	0.002050
02035607132844	106021.204836	W	0.001114
02035607154236	106021.205950	S	0.001949
02035607191656	106021.207899	W	0.001313
02035607216864	106021.209212	S	0.001927
02035607253864	106021.211139	W	0.001161
02035607276160	106021.212300	S	0.002008
02035607314704	106021.214308	W	0.000961
02035607333152	106021.215268	S	0.001966
02035607370892	106021.217234	W	0.002952
02035607427572	106021.220186	S	0.002165
02035607469140	106021.222351	W	0.001027
02035607488864	106021.223378	S	0.001991
02035607527092	106021.225369	W	0.001068
02035607547592	106021.226437	S	0.001998
02035607585948	106021.228435	W	0.001382
02035607612476	106021.229816	S	0.002101
02035607652820	106021.231918	W	0.001107
02035607674080	106021.233025	S	0.001997
02035607712416	106021.235022	W	0.002409
02035607758676	106021.237431	S	0.002155
02035607800048	106021.239586	W	0.003290
02035607863224	106021.242876	S	0.002077
02035607903104	106021.244953	W	0.001123
02035607924672	106021.246077	S	0.001930
02035607961720	106021.248006	W	0.001319
02035607987040	106021.249325	S	0.002015
02035608025728	106021.251340	W	0.001220
02035608049148	106021.252560	S	0.001939
02035608086384	106021.254499	W	0.002643
02035608137136	106021.257143	S	0.002071
02035608176904	106021.259214	W	0.002821
02035608231072	106021.262035	S	0.002052
02035608270472	106021.264087	W	0.003039
02035608328816	106021.267126	S	0.002064
02035608368444	106021.269190	W	0.002866
02035608423480	106021.272056	S	0.002041
02035608462664	106021.274097	W	0.001154
02035608484812	106021.275251	S	0.001906
02035608521412	106021.277157	W	0.002107
02035608561864	106021.279264	S	0.002047
02035608601176	106021.281311	W	0.002392
02035608647096	106021.283703	S	0.002037
02035608686204	106021.285740	W	0.003229
02035608748192	106021.288968	S	0.002076
02035608788048	106021.291044	W	0.001034
02035608807896	106021.292078	S	0.001886
02035608844104	106021.293964	W	0.001041
02035608864096	106021.295005	S	0.001932
02035608901192	106021.296937	W	0.001386
02035608927800	106021.298323	S	0.002032
02035608966812	106021.300355	W	0.001074
02035608987436	106021.301429	S	0.001898
02035609023872	106021.303327	W	0.003124
02035609083856	106021.306451	S	0.002081
02035609123804	106021.308531	W	0.001056
02035609144088	106021.309588	S	0.001892
02035609180420	106021.311480	W	0.002848
02035609235108	106021.314329	S	0.002043
02035609274332	106021.316371	W	0.002884
02035609329712	106021.319256	S	0.002064
02035609369336	106021.321320	W	0.001031
02035609389128	106021.322350	S	0.001877
02035609425168	106021.324227	W	0.002777
02035609478492	106021.327005	S	0.002059
02035609518032	106021.329064	W	0.000902
02035609535356	106021.329966	S	0.001876
02035609571368	106021.331842	W	0.002783
02035609624800	106021.334625	S	0.002054
02035609664232	106021.336679	W	0.002788
02035609717752	106021.339466	S	0.002057
02035609757240	106021.341523	W	0.002768
02035609810392	106021.344291	S	0.002067
02035609850080	106021.346358	W	0.002867
02035609905136	106021.349226	S	0.002056
02035609944608	106021.351282	W	0.001202
02035609967688	106021.352484	S	0.001925
02035610004656	106021.354409	W	0.001375
02035610031064	106021.355785	S	0.002051
02035610070452	106021.357836	W	0.001479
02035610098856	106021.359315	S	0.001963
02035610136544	106021.361278	W	0.001808
02035610171252	106021.363086	S	0.002041
02035610210444	106021.365127	W	0.001295
02035610235308	106021.366422	S	0.001915
02035610272080	106021.368337	W	0.001755
02035610305768	106021.370092	S	0.002060
02035610345312	106021.372152	W	0.002801
02035610399096	106021.374953	S	0.002208
02035610441484	106021.377161	W	0.001295
02035610466340	106021.378455	S	0.001933
02035610503452	106021.380388	W	0.001887
02035610539688	106021.382275	S	0.002067
02035610579372	106021.384342	W	0.001103
02035610600548	106021.385445	S	0.001928
02035610637564	106021.387373	W	0.002141
02035610678664	106021.389514	S	0.002114
02035610719260	106021.391628	W	0.001063
02035610739660	106021.392691	S	0.002698
02035610791460	106021.395389	W	0.002947
02035610848048	106021.398336	S	0.002062
02035610887636	106021.400398	W	0.002925
02035610943788	106021.403322	S	0.002077
02035610983668	106021.405399	W	0.002756
02035611036576	106021.408155	S	0.002060
02035611076124	106021.410215	W	0.001079
02035611096832	106021.411293	S	0.001899
02035611133292	106021.413192	W	0.001063
02035611153692	106021.414255	S	0.001990
02035611191908	106021.416245	W	0.001386
02035611218520	106021.417631	S	0.002105
02035611258932	106021.419736	W	0.001300
02035611283900	106021.421036	S	0.001933
02035611321020	106021.422970	W	0.002359
02035611366316	106021.425329	S	0.002226
02035611409052	106021.427555	W	0.001240
02035611432856	106021.428795	S	0.001989
02035611471048	106021.430784	W	0.001347
02035611496904	106021.432130	S	0.002103
02035611537276	106021.434233	W	0.003352
02035611601632	106021.437585	S	0.002153
02035611642964	106021.439738	W	0.001274
02035611667420	106021.441011	S	0.001969
02035611705232	106021.442981	W	0.002179
02035611747060	106021.445159	S	0.002061
02035611786624	106021.447220	W	0.002912
02035611842540	106021.450132	S	0.002063
02035611882144	106021.452195	W	0.002864
02035611937132	106021.455059	S	0.002089
02035611977236	106021.457148	W	0.002926
02035612033424	106021.460074	S	0.002073
02035612073216	106021.462147	W	0.001073
02035612093824	106021.463220	S	0.001911
02035612130524	106021.465131	W	0.001733
02035612163796	106021.466864	S	0.002053
02035612203212	106021.468917	W	0.003068
02035612262124	106021.471986	S	0.002426
02035612308712	106021.474412	W	0.002885
02035612364108	106021.477297	S	0.002072
02035612403888	106021.479369	W	0.003026
02035612461988	106021.482395	S	0.002061
02035612501552	106021.484456	W	0.002808
02035612555464	106021.487264	S	0.002054
02035612594908	106021.489318	W	0.001421
02035612622196	106021.490739	S	0.001946
02035612659560	106021.492685	W	0.001723
02035612692636	106021.494408	S	0.002037
02035612731740	106021.496445	W	0.003041
02035612790132	106021.499486	S	0.002081
02035612830084	106021.501567	W	0.002515
02035612878376	106021.504082	S	0.002061
02035612917940	106021.506143	W	0.000965
02035612936464	106021.507108	S	0.003013
02035612994312	106021.510120	W	0.001068
02035613014808	106021.511188	S	0.001914
02035613051564	106021.513102	W	0.001840
02035613086892	106021.514942	S	0.002052
02035613126296	106021.516995	W	0.001150
02035613148380	106021.518145	S	0.001954
02035613185904	106021.520099	W	0.002281
02035613229704	106021.522380	S	0.002091
02035613269856	106021.524472	W	0.003063
02035613328656	106021.527534	S	0.002092
02035613368828	106021.529626	W	0.002989
02035613426212	106021.532615	S	0.002062
02035613465804	106021.534677	W	0.002807
02035613519696	106021.537484	S	0.002044
02035613558944	106021.539528	W	0.001061
02035613579308	106021.540589	S	0.001913
02035613616044	106021.542502	W	0.002073
02035613655840	106021.544575	S	0.002041
02035613695024	106021.546616	W	0.003282
02035613758032	106021.549897	S	0.002050
02035613797388	106021.551947	W	0.002714
02035613849488	106021.554661	S	0.002060
02035613889044	106021.556721	W	0.001032
02035613908864	106021.557753	S	0.001871
02035613944780	106021.559624	W	0.002835
02035613999212	106021.562459	S	0.002087
02035614039280	106021.564546	W	0.002831
02035614093644	106021.567377	S	0.002059
02035614133172	106021.569436	W	0.002824
02035614187400	106021.572260	S	0.002060
02035614226948	106021.574320	W	0.002856
02035614281780	106021.577176	S	0.002049
02035614321124	106021.579225	W	0.002813
02035614375136	106021.582038	S	0.002078
02035614415028	106021.584116	W	0.002461
02035614462272	106021.586577	S	0.002047
02035614501580	106021.588624	W	0.001342
02035614527352	106021.589966	S	0.001937
02035614564544	106021.591903	W	0.007824
02035614714768	106021.599727	S	0.002192
02035614756848	106021.601919	W	0.001349
02035614782756	106021.603269	S	0.001918
02035614819584	106021.605187	W	0.001282
02035614844192	106021.606468	S	0.002036
02035614883276	106021.608504	W	0.002935
02035614939636	106021.611439	S	0.002097
02035614979900	106021.613536	W	0.002645
02035615030680	106021.616181	S	0.002100
02035615070996	106021.618281	W	0.003253
02035615133444	106021.621534	S	0.002055
02035615172892	106021.623588	W	0.002866
02035615227924	106021.626454	S	0.002064
02035615267552	106021.628518	W	0.002857
02035615322416	106021.631376	S	0.002096
02035615362668	106021.633472	W	0.001084
02035615383480	106021.634556	S	0.001895
02035615419856	106021.636451	W	0.002227
02035615462608	106021.638677	S	0.002056
02035615502092	106021.640734	W	0.003141
02035615562400	106021.643875	S	0.002051
02035615601780	106021.645926	W	0.002803
02035615655600	106021.648729	S	0.002068
02035615695304	106021.650797	W	0.001023
02035615714944	106021.651820	S	0.001886
02035615751152	106021.653706	W	0.003285
02035615814220	106021.656991	S	0.002085
02035615854252	106021.659076	W	0.002923
02035615910364	106021.661998	S	0.002077
02035615950252	106021.664076	W	0.002763
02035616003296	106021.666838	S	0.002047
02035616042600	106021.668885	W	0.000913
02035616060120	106021.669798	S	0.001874
02035616096096	106021.671672	W	0.002774
02035616149360	106021.674446	S	0.002044
02035616188604	106021.676490	W	0.003011
02035616246424	106021.679501	S	0.003413
02035616311944	106021.682914	W	0.003068
02035616370856	106021.685982	S	0.002049
02035616410196	106021.688031	W	0.001211
02035616433444	106021.689242	S	0.001931
02035616470528	106021.691173	W	0.002128
02035616511380	106021.693301	S	0.002050
02035616550748	106021.695351	W	0.003038
02035616609076	106021.698389	S	0.002058
02035616648592	106021.700447	W	0.003081
02035616707748	106021.703529	S	0.002057
02035616747244	106021.705586	W	0.002593
02035616797032	106021.708179	S	0.002055
02035616836488	106021.710234	W	0.003300
02035616899856	106021.713534	S	0.002094
02035616940068	106021.715629	W	0.002926
02035616996248	106021.718555	S	0.002045
02035617035512	106021.720600	W	0.002780
02035617088884	106021.723379	S	0.002059
02035617128412	106021.725438	W	0.001037
02035617148324	106021.726475	S	0.002067
02035617188008	106021.728542	W	0.003289
02035617251164	106021.731831	S	0.002071
02035617290924	106021.733902	W	0.003047
02035617349436	106021.736950	S	0.002059
02035617388968	106021.739009	W	0.002907
02035617444780	106021.741916	S	0.002065
02035617484420	106021.743980	W	0.001322
02035617509800	106021.745302	S	0.001940
02035617547052	106021.747242	W	0.001737
02035617580412	106021.748980	S	0.002044
02035617619664	106021.751024	W	0.002984
02035617676948	106021.754008	S	0.002065
02035617716596	106021.756073	W	0.002831
02035617770944	106021.758903	S	0.002061
02035617810508	106021.760964	W	0.001098
02035617831588	106021.762062	S	0.001893
02035617867928	106021.763955	W	0.001153
02035617890068	106021.765108	S	0.001922
02035617926972	106021.767030	W	0.001352
02035617952928	106021.768382	S	0.002025
02035617991800	106021.770406	W	0.001355
02035618017816	106021.771761	S	0.001927
02035618054812	106021.773688	W	0.002512
02035618103036	106021.776200	S	0.002057
02035618142524	106021.778256	W	0.001061
02035618162892	106021.779317	S	0.001904
02035618199440	106021.781221	W	0.002351
02035618244580	106021.783572	S	0.002060
02035618284128	106021.785632	W	0.001109
02035618305412	106021.786740	S	0.001899
02035618341880	106021.788640	W	0.003008
02035618399628	106021.791647	S	0.002066
02035618439296	106021.793713	W	0.000948
02035618457504	106021.794662	S	0.002278
02035618501232	106021.796939	W	0.003076
02035618560296	106021.800015	S	0.002067
02035618599980	106021.802082	W	0.002900
02035618655652	106021.804982	S	0.002050
02035618695004	106021.807031	W	0.001218
02035618718392	106021.808250	S	0.001930
02035618755440	106021.810179	W	0.001303
02035618780456	106021.811482	S	0.002028
02035618819400	106021.813510	W	0.000990
02035618838408	106021.814500	S	0.002539
02035618887164	106021.817040	W	0.002808
02035618941080	106021.819848	S	0.002074
02035618980896	106021.821922	W	0.003031
02035619039096	106021.824953	S	0.002052
02035619078488	106021.827005	W	0.002785
02035619131968	106021.829790	S	0.002076
02035619171824	106021.831866	W	0.002498
02035619219788	106021.834364	S	0.002039
02035619258932	106021.836403	W	0.000657
02035619271540	106021.837059	S	0.001360
02035619297644	106021.838419	W	0.000293
02035619303264	106021.838712	S	0.001349
02035619329160	106021.840060	W	0.001151
02035619351256	106021.841211	S	0.001404
02035619378204	106021.842615	W	0.000043
02035619379032	106021.842658	S	0.002531
02035619427636	106021.845189	W	0.000173
02035619430952	106021.845362	S	0.001381
02035619457476	106021.846744	W	0.000280
02035619462856	106021.847024	S	0.001353
02035619488840	106021.848377	W	0.000893
02035619505984	106021.849270	S	0.001392
02035619532708	106021.850662	W	0.000271
02035619537920	106021.850933	S	0.002526
02035619586420	106021.853459	W	0.000166
02035619589600	106021.853625	S	0.001346
02035619615452	106021.854971	W	0.000289
02035619621008	106021.855261	S	0.001349
02035619646912	106021.856610	W	0.000926
02035619664688	106021.857536	S	0.001372
02035619691032	106021.858908	W	0.000291
02035619696620	106021.859199	S	0.001347
02035619722488	106021.860546	W	0.000175
02035619725844	106021.860721	S	0.001368
02035619752112	106021.862089	W	0.000285
02035619757580	106021.862374	S	0.001352
02035619783548	106021.863726	W	0.000897
02035619800764	106021.864623	S	0.001402
02035619827676	106021.866025	W	0.000269
02035619832840	106021.866294	S	0.002182
02035619874744	106021.868476	W	0.000167
02035619877952	106021.868643	S	0.001376
02035619904376	106021.870020	W	0.000302
02035619910172	106021.870321	S	0.001387
02035619936796	106021.871708	W	0.000884
02035619953760	106021.872592	S	0.001390
02035619980452	106021.873982	W	0.000278
02035619985784	106021.874260	S	0.002225
02035620028504	106021.876485	W	0.000164
02035620031652	106021.876649	S	0.001367
02035620057892	106021.878015	W	0.000290
02035620063464	106021.878305	S	0.001346
02035620089312	106021.879652	W	0.000883
02035620106260	106021.880534	S	0.001362
