Start : 3755012072, 114593.874269sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 75001788212
Time Awake : 88939463972
Sleep : 45.749186% Awake : 54.250814%
Log available 106055 ~ 114583sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
02036261144240	106055.267929	S	0.184499
02036264686624	106055.452428	W	0.001091
02036264707576	106055.453520	S	0.545990
02036275190576	106055.999509	W	0.001351
02036275216520	106056.000860	S	0.492102
02036284664888	106056.492963	W	0.037911
02036285392772	106056.530874	S	1.242036
02036309239868	106057.772910	W	0.038040
02036309970228	106057.810949	S	1.251948
02036334007632	106059.062897	W	0.018347
02036334359892	106059.081244	S	1.251638
02036358391348	106060.332883	W	0.046960
02036359292984	106060.379843	S	1.243068
02036383159888	106061.622911	W	0.019648
02036383537128	106061.642559	S	1.250377
02036407544364	106062.892936	W	0.449221
02036416169416	106063.342157	S	0.076338
02036417635112	106063.418495	W	0.001360
02036417661216	106063.419855	S	0.000357
02036417668068	106063.420212	W	7.191326
02036555741528	106070.611538	S	0.029892
02036556315460	106070.641430	W	0.001015
02036556334940	106070.642445	S	0.099058
02036558236848	106070.741502	W	0.000587
02036558248112	106070.742089	S	0.281109
02036563645408	106071.023198	W	0.005803
02036563756828	106071.029001	S	0.833904
02036579767776	106071.862905	W	0.055140
02036580826464	106071.918045	S	1.214768
02036604150004	106073.132813	W	0.038085
02036604881228	106073.170897	S	1.241898
02036628725664	106074.412795	W	0.046275
02036629614140	106074.459070	S	0.989732
02036648616996	106075.448802	W	0.020259
02036649005964	106075.469061	S	0.223803
02036653302988	106075.692864	W	0.047176
02036654208776	106075.740040	S	1.232724
02036677877080	106076.972765	W	0.037228
02036678591856	106077.009992	S	1.252761
02036702644860	106078.262753	W	0.045158
02036703511892	106078.307911	S	0.221267
02036707760212	106078.529178	W	0.014931
02036708046888	106078.544109	S	0.988755
02036727030988	106079.532864	W	0.038034
02036727761240	106079.570898	S	1.241857
02036751604892	106080.812755	W	0.038162
02036752337600	106080.850917	S	1.251840
02036776372928	106082.102757	W	0.018490
02036776727944	106082.121247	S	1.261498
02036800948708	106083.382745	W	0.054210
02036801989548	106083.436956	S	1.215773
02036825332396	106084.652729	W	0.038227
02036826066364	106084.690956	S	0.467909
02036835050220	106085.158866	W	0.001331
02036835075780	106085.160197	S	0.002115
02036835116396	106085.162312	W	0.000893
02036835133536	106085.163205	S	0.001907
02036835170160	106085.165113	W	0.000917
02036835187772	106085.166030	S	0.766762
02036849909600	106085.932792	W	0.037228
02036850624376	106085.970020	S	1.242763
02036874485432	106087.212783	W	0.037086
02036875197492	106087.249869	S	1.252871
02036899252624	106088.502741	W	0.053681
02036900283296	106088.556422	S	1.216337
