Start : 2588699959, 79000.853246sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 58965684060
Time Awake : 15829456940
Sleep : 78.836250% Awake : 21.163750%
Log available 75105 ~ 79000sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
01442021253308	75105.273610	S	0.964348
01442039768780	75106.237957	W	0.018734
01442040128480	75106.256692	S	0.657128
01442052745336	75106.913820	W	0.014482
01442053023388	75106.928301	S	0.589662
01442064344900	75107.517964	W	0.018881
01442064707424	75107.536845	S	0.503369
01442074372112	75108.040214	W	0.014652
01442074653432	75108.054866	S	0.223821
01442078950804	75108.278688	W	0.014991
01442079238636	75108.293679	S	0.504267
01442088920560	75108.797946	W	0.018942
01442089284248	75108.816888	S	1.261031
01442113496036	75110.077919	W	0.018762
01442113856264	75110.096680	S	1.212500
01442137136272	75111.309181	W	0.014713
01442137418768	75111.323894	S	0.034388
01442138079016	75111.358282	W	0.018525
01442138434704	75111.376807	S	1.261130
01442162648400	75112.637937	W	0.054068
01442163686512	75112.692006	S	1.215930
01442187032372	75113.907936	W	0.047249
01442187939556	75113.955185	S	0.229022
01442192336788	75114.184208	W	0.014522
01442192615616	75114.198730	S	0.089908
01442194341852	75114.288638	W	0.014308
01442194616556	75114.302946	S	0.039236
01442195369884	75114.342181	W	0.014923
01442195656412	75114.357105	S	0.237194
01442200210532	75114.594299	W	0.014421
01442200487424	75114.608720	S	0.394981
01442208071068	75115.003701	W	0.014556
01442208350540	75115.018257	S	0.089129
01442210061808	75115.107386	W	0.013674
01442210324352	75115.121060	S	0.077195
01442211806496	75115.198255	W	0.018417
01442212160112	75115.216672	S	0.094324
01442213971128	75115.310996	W	0.014498
01442214249484	75115.325494	S	0.190629
01442217909560	75115.516123	W	0.014372
01442218185504	75115.530495	S	0.190025
01442221833984	75115.720520	W	0.014742
01442222117024	75115.735262	S	0.189807
01442225761312	75115.925068	W	0.014432
01442226038408	75115.939500	S	0.088002
01442227728056	75116.027503	W	0.014272
01442228002072	75116.041775	S	0.193456
01442231716424	75116.235230	W	0.016462
01442232032496	75116.251692	S	0.085181
01442233667976	75116.336874	W	0.014214
01442233940892	75116.351088	S	0.126835
01442236376132	75116.477924	W	0.018802
01442236737140	75116.496726	S	0.145108
01442239523220	75116.641834	W	0.014589
01442239803336	75116.656424	S	0.702257
01442253286672	75117.358681	W	0.038309
01442254022208	75117.396990	S	0.064091
01442255252756	75117.461081	W	0.014312
01442255527544	75117.475393	S	0.282516
01442260951848	75117.757909	W	0.025931
01442261449732	75117.783840	S	1.254051
01442285527512	75119.037891	W	0.018863
01442285889688	75119.056755	S	0.043116
01442286717508	75119.099870	W	0.014503
01442286995968	75119.114373	S	0.908465
01442304438488	75120.022838	W	0.024619
01442304911168	75120.047457	S	0.270430
01442310103424	75120.317887	W	0.028531
01442310651216	75120.346417	S	0.060010
01442311803400	75120.406427	W	0.014913
01442312089720	75120.421340	S	0.215993
01442316236780	75120.637332	W	0.018323
01442316588580	75120.655655	S	0.594436
01442328001744	75121.250091	W	0.014604
01442328282140	75121.264695	S	0.088928
01442329989556	75121.353623	W	0.020247
01442330378300	75121.373870	S	0.224055
01442334680152	75121.597925	W	0.018851
01442335042088	75121.616775	S	1.261086
01442359254932	75122.877861	W	0.018911
01442359618020	75122.896772	S	0.536292
01442369914824	75123.433064	W	0.023459
01442370365240	75123.456523	S	0.677145
01442383366432	75124.133668	W	0.043076
01442384193484	75124.176744	S	1.261106
01442408406716	75125.437850	W	0.018898
01442408769548	75125.456747	S	1.006284
01442428090196	75126.463031	W	0.014944
01442428377116	75126.477975	S	0.239896
01442432983128	75126.717871	W	0.018700
01442433342168	75126.736571	S	1.261272
01442457558596	75127.997844	W	0.018906
01442457921584	75128.016749	S	1.119846
01442479422620	75129.136595	W	0.014295
01442479697088	75129.150890	S	0.126974
01442482134984	75129.277864	W	0.021905
01442482555556	75129.299769	S	0.189202
01442486188232	75129.488970	W	0.023558
01442486640552	75129.512529	S	0.749670
01442501034208	75130.262198	W	0.018601
01442501391344	75130.280799	S	0.277038
01442506710472	75130.557837	W	0.018696
01442507069428	75130.576533	S	0.198584
01442510882244	75130.775117	W	0.019759
01442511261608	75130.794875	S	0.496105
01442520786828	75131.290981	W	0.028121
01442521326760	75131.319102	S	0.478173
01442530507672	75131.797275	W	0.013664
01442530770020	75131.810939	S	0.027244
01442531293104	75131.838182	W	0.018519
01442531648676	75131.856702	S	0.662447
01442544367668	75132.519149	W	0.014868
01442544653124	75132.534017	S	0.286578
01442550155424	75132.820595	W	0.014900
01442550441500	75132.835495	S	0.087243
01442552116564	75132.922738	W	0.014714
01442552399076	75132.937452	S	0.013914
01442552666216	75132.951365	W	0.039663
01442553427748	75132.991029	S	0.126833
01442555862940	75133.117861	W	0.018855
01442556224948	75133.136716	S	1.261103
01442580438128	75134.397819	W	0.018621
01442580795644	75134.416440	S	1.128376
01442602460464	75135.544816	W	0.023478
01442602911248	75135.568294	S	0.109539
01442605014392	75135.677833	W	0.018854
01442605376396	75135.696687	S	1.261126
01442629590020	75136.957814	W	0.018924
01442629953352	75136.976737	S	1.261100
01442654166468	75138.237837	W	0.018668
01442654524888	75138.256505	S	0.328619
01442660834368	75138.585123	W	0.014933
01442661121080	75138.600056	S	0.917782
01442678742504	75139.517839	W	0.018891
01442679105220	75139.536730	S	1.261059
01442703317560	75140.797790	W	0.018775
01442703678040	75140.816565	S	0.793692
01442718916932	75141.610257	W	0.015243
01442719209596	75141.625500	S	0.452288
01442727893532	75142.077788	W	0.018886
01442728256144	75142.096674	S	1.261105
01442752469364	75143.357779	W	0.018712
01442752828628	75143.376491	S	0.708482
01442766431476	75144.084973	W	0.014392
01442766707800	75144.099365	S	0.536160
01442777002072	75144.635525	W	0.023406
01442777451472	75144.658931	S	1.258884
01442801622048	75145.917815	W	0.018799
01442801982988	75145.936614	S	1.261171
01442826197476	75147.197785	W	0.018877
01442826559920	75147.216662	S	0.446227
01442835127484	75147.662890	W	0.015066
01442835416748	75147.677956	S	0.799837
01442850773612	75148.477792	W	0.018708
01442851132808	75148.496500	S	1.261260
01442875349004	75149.757761	W	0.018908
01442875712044	75149.776669	S	0.912235
01442893226964	75150.688904	W	0.023815
01442893684216	75150.712720	S	0.325051
01442899925196	75151.037771	W	0.018845
01442900287016	75151.056615	S	1.261127
01442924500656	75152.317743	W	0.018934
01442924864188	75152.336676	S	1.261065
01442949076644	75153.597742	W	0.018869
01442949438928	75153.616611	S	0.095366
01442951269956	75153.711977	W	0.014860
01442951555260	75153.726836	S	0.392576
01442959092720	75154.119413	W	15.028701
01443247643780	75169.148114	S	1.089553
01443268563204	75170.237667	W	0.018927
01443268926600	75170.256594	S	1.261077
01443293139284	75171.517671	W	0.018866
01443293501504	75171.536537	S	0.349467
01443300211264	75171.886003	W	0.014879
01443300496944	75171.900883	S	0.896798
01443317715472	75172.797681	W	0.018711
01443318074724	75172.816392	S	1.251254
01443342098808	75174.067646	W	0.037038
01443342809932	75174.104684	S	0.805404
01443358273696	75174.910088	W	0.014743
01443358556764	75174.924831	S	0.432829
01443366867080	75175.357660	W	0.021817
01443367285960	75175.379477	S	0.142641
01443370024672	75175.522118	W	0.029215
01443370585592	75175.551333	S	0.177871
01443374000712	75175.729204	W	0.014085
01443374271140	75175.743289	S	0.300785
01443380046208	75176.044073	W	0.111611
01443382189148	75176.155685	S	0.082873
01443383780316	75176.238558	W	0.085990
01443385431324	75176.324548	S	0.313112
01443391443068	75176.637660	W	0.018233
01443391793144	75176.655893	S	1.261732
01443416018400	75177.917625	W	0.032041
01443416633596	75177.949666	S	1.247988
01443440594968	75179.197655	W	0.018884
01443440957536	75179.216538	S	1.261083
01443465170328	75180.477621	W	0.018801
01443465531300	75180.496422	S	0.465250
01443474464100	75180.961672	W	0.023592
01443474917060	75180.985264	S	0.237560
01443479478212	75181.222824	W	0.312522
01443485478644	75181.535346	S	0.212302
01443489554840	75181.747648	W	0.037125
01443490267644	75181.784773	S	0.088121
01443491959572	75181.872894	W	0.015913
01443492265104	75181.888807	S	1.138838
01443514130796	75183.027646	W	0.037176
