Start : 5738628315, 175129.037942sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 27876088316
Time Awake : 6426785572
Sleep : 81.264586% Awake : 18.735414%
Log available 173342 ~ 175128sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
03328174667676	173342.430608	S	0.624758
03328186663028	173343.055366	W	0.016976
03328186988976	173343.072343	S	0.625525
03328198999064	173343.697868	W	0.017056
03328199326540	173343.714924	S	0.068950
03328200650372	173343.783874	W	0.014978
03328200937948	173343.798851	S	0.539157
03328211289764	173344.338009	W	0.016591
03328211608316	173344.354600	S	0.623460
03328223578740	173344.978059	W	0.018022
03328223924764	173344.996081	S	0.616731
03328235766008	173345.612813	W	0.016826
03328236089072	173345.629639	S	0.624030
03328248070456	173346.253670	W	0.018155
03328248419032	173346.271825	S	0.535751
03328258705460	173346.807576	W	0.022626
03328259139880	173346.830202	S	0.065179
03328260391324	173346.895381	W	0.016404
03328260706288	173346.911786	S	0.624283
03328272692516	173347.536069	W	0.016994
03328273018796	173347.553062	S	0.624373
03328285006756	173348.177435	W	0.017165
03328285336320	173348.194600	S	0.623989
03328297316908	173348.818589	W	0.015172
03328297608216	173348.833761	S	0.622333
03328309557016	173349.456095	W	0.057188
03328310655028	173349.513283	S	0.321950
03328316836472	173349.835233	W	0.014818
03328317120976	173349.850051	S	0.241580
03328321759320	173350.091631	W	0.016700
03328322079956	173350.108331	S	0.625953
03328334098248	173350.734284	W	0.013500
03328334357448	173350.747784	S	0.559662
03328345102952	173351.307445	W	0.013976
03328345371292	173351.321421	S	0.001544
03328345400932	173351.322965	W	0.013888
03328345667576	173351.336853	S	0.037171
03328346381252	173351.374024	W	0.014981
03328346668884	173351.389004	S	0.626797
03328358703380	173352.015801	W	0.014853
03328358988556	173352.030654	S	0.145495
03328361782060	173352.176149	W	0.087035
03328363453132	173352.263184	S	0.066010
03328364720524	173352.329194	W	0.130867
03328367233164	173352.460061	S	0.197665
03328371028336	173352.657726	W	0.025904
03328371525688	173352.683630	S	0.177327
03328374930368	173352.860957	W	0.014567
03328375210056	173352.875524	S	0.423113
03328383333832	173353.298637	W	0.014807
03328383618136	173353.313445	S	0.625285
03328395623604	173353.938729	W	0.016075
03328395932244	173353.954804	S	0.618405
03328407805612	173354.573209	W	0.014935
03328408092372	173354.588144	S	0.623703
03328420067460	173355.211847	W	0.016879
03328420391536	173355.228726	S	0.626131
03328432413248	173355.854857	W	0.014861
03328432698580	173355.869718	S	0.009861
03328432887904	173355.879578	W	0.022662
03328433323020	173355.902241	S	0.593692
03328444721908	173356.495933	W	0.014987
03328445009656	173356.510920	S	0.626792
03328457044064	173357.137712	W	0.014865
03328457329476	173357.152577	S	0.141730
03328460050696	173357.294307	W	0.402254
03328467773980	173357.696561	S	0.014548
03328468053304	173357.711110	W	0.082616
03328469639528	173357.793725	S	0.523187
03328479684716	173358.316912	W	0.014803
03328479968932	173358.331715	S	0.084562
03328481592524	173358.416277	W	0.018290
03328481943700	173358.434568	S	0.464923
03328490870220	173358.899491	W	0.014924
03328491156752	173358.914414	S	0.137784
03328493802204	173359.052198	W	0.014979
03328494089796	173359.067177	S	0.626073
03328506110400	173359.693250	W	0.014983
